Current parameters
 - debug = true
 - runAutotest = false
 - runChromosome = false
 - runExperiment = true
 - chromosome = null
 - showSheets = false
 - saveRatMap = .
 - numberOfGenerations = 50
 - population = 15
 - numberOfProfiles = 2
 - numberOfInitialAgents = 15
 - numberOfCells = 10
 - numberOfFoodPieces = 10
 - numberOfDays = 1000
 - numberOfExecutions = 5
 - patterns = E:\2_trabajo\doctorado\made\2014\pattern_revenge.txt
 - baseDays = 500
 - baseEnergy = 5
 - baseSmell = 3
 - baseNutrition = 4
 - baseByte = 5
 - baseFur = 5
 - baseAgeToBeAdultFemale = 42
 - baseToBeAdultMale = 49
 - basePregnancyTime = 30
 - help = false
 - seed = 1384142764465

gen = 0028,avg = 408,640,best = 427,000,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,330;0,914;0,461;0,903;0,217;0,579;0,596;0,745;0,112;0,798;0,088;0,100;0,121}
gen = 0029,avg = 414,787,best = 427,000,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,330;0,914;0,461;0,903;0,217;0,579;0,596;0,745;0,112;0,798;0,088;0,100;0,121}
gen = 0030,avg = 417,867,best = 427,000,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,330;0,914;0,461;0,903;0,217;0,579;0,596;0,745;0,112;0,798;0,088;0,100;0,121}
gen = 0031,avg = 421,440,best = 433,200,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,135;0,914;0,461;0,903;0,217;0,579;0,759;0,745;0,112;0,798;0,088;0,100;0,121}
gen = 0032,avg = 429,227,best = 446,000,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,330;0,914;0,500;0,903;0,217;0,579;0,939;0,745;0,112;0,798;0,088;0,100;0,121}
gen = 0033,avg = 433,080,best = 446,000,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,330;0,914;0,500;0,903;0,217;0,579;0,939;0,745;0,112;0,798;0,088;0,100;0,121}
gen = 0034,avg = 436,933,best = 446,000,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,330;0,914;0,500;0,903;0,217;0,579;0,939;0,745;0,112;0,798;0,088;0,100;0,121}
gen = 0035,avg = 440,387,best = 446,000,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,330;0,914;0,500;0,903;0,217;0,579;0,939;0,745;0,112;0,798;0,088;0,100;0,121}
gen = 0036,avg = 443,920,best = 446,400,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,330;0,914;0,500;0,903;0,217;0,579;0,939;0,745;0,112;0,798;0,088;0,100;0,121}
gen = 0037,avg = 444,520,best = 446,400,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,330;0,914;0,500;0,903;0,217;0,579;0,939;0,745;0,112;0,798;0,088;0,100;0,121}
gen = 0038,avg = 445,320,best = 446,400,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,330;0,914;0,500;0,903;0,217;0,579;0,939;0,745;0,112;0,798;0,088;0,100;0,121}
gen = 0039,avg = 447,840,best = 460,800,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,135;0,914;0,461;0,903;0,217;0,579;0,759;0,745;0,112;0,181;0,088;0,100;0,121}
gen = 0040,avg = 449,227,best = 460,800,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,135;0,914;0,461;0,903;0,217;0,579;0,759;0,745;0,112;0,181;0,088;0,100;0,121}
gen = 0041,avg = 450,227,best = 460,800,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,135;0,914;0,461;0,903;0,217;0,579;0,759;0,745;0,112;0,181;0,088;0,100;0,121}
gen = 0042,avg = 451,213,best = 460,800,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,135;0,914;0,461;0,903;0,217;0,579;0,759;0,745;0,112;0,181;0,088;0,100;0,121}
gen = 0043,avg = 452,307,best = 460,800,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,135;0,914;0,461;0,903;0,217;0,579;0,759;0,745;0,112;0,181;0,088;0,100;0,121}
gen = 0044,avg = 453,320,best = 460,800,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,135;0,914;0,461;0,903;0,217;0,579;0,759;0,745;0,112;0,181;0,088;0,100;0,121}
gen = 0045,avg = 454,293,best = 460,800,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,135;0,914;0,461;0,903;0,217;0,579;0,759;0,745;0,112;0,181;0,088;0,100;0,121}
gen = 0046,avg = 455,253,best = 460,800,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,135;0,914;0,461;0,903;0,217;0,579;0,759;0,745;0,112;0,181;0,088;0,100;0,121}
gen = 0047,avg = 456,773,best = 460,800,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,135;0,914;0,461;0,903;0,217;0,579;0,759;0,745;0,112;0,181;0,088;0,100;0,121}
gen = 0048,avg = 459,187,best = 460,800,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,135;0,914;0,461;0,903;0,217;0,579;0,759;0,745;0,112;0,181;0,088;0,100;0,121}
gen = 0049,avg = 460,307,best = 460,800,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,135;0,914;0,461;0,903;0,217;0,579;0,759;0,745;0,112;0,181;0,088;0,100;0,121}
gen = 0050,avg = 460,560,best = 460,800,chrom = {0,680;0,495;0,530;0,200;0,132;0,197;0,938;0,571;0,066;0,979;0,897;0,135;0,914;0,461;0,903;0,217;0,579;0,759;0,745;0,112;0,181;0,088;0,100;0,121}
Execution Time = 1929,883ms;
