J1,J2,Wins,Type,Turns,Map
a_0,t_7,t_7,TURNS,154,7
a_0,t_8,t_8,TURNS,170,7
a_0,t_9,t_9,TURNS,154,7
a_0,t_10,t_10,TURNS,264,7
a_0,t_11,t_11,TURNS,154,7
a_0,t_12,t_12,TURNS,154,7
a_0,t_13,t_13,TURNS,174,7
a_0,t_14,t_14,TURNS,157,7
a_0,t_15,t_15,TURNS,149,7
a_0,t_16,t_16,TURNS,159,7
a_0,t_17,t_17,TURNS,72,7
a_0,t_18,t_18,TURNS,154,7
a_0,t_19,a_0,AREA,1001,7
a_0,t_20,t_20,TURNS,144,7
a_0,t_0,a_0,AREA,76,26
a_0,t_1,t_1,TURNS,82,26
a_0,t_2,t_2,TURNS,81,26
a_0,t_3,t_3,TURNS,108,26
a_0,t_4,t_4,TURNS,81,26
a_0,t_5,t_5,TURNS,80,26
a_0,t_6,t_6,TURNS,75,26
a_0,t_7,t_7,TURNS,81,26
a_0,t_8,t_8,TURNS,82,26
a_0,t_9,t_9,TURNS,76,26
a_0,t_10,t_10,TURNS,190,26
a_0,t_11,t_11,TURNS,81,26
a_0,t_12,t_12,TURNS,81,26
a_0,t_13,t_13,TURNS,81,26
a_0,t_14,t_14,TURNS,54,26
a_0,t_15,t_15,TURNS,81,26
a_0,t_16,t_16,TURNS,81,26
a_0,t_17,t_17,TURNS,11,26
a_0,t_18,t_18,TURNS,81,26
a_0,t_19,t_19,TURNS,38,26
a_0,t_20,t_20,TURNS,86,26
a_0,t_0,t_0,TURNS,150,32
a_0,t_1,t_1,TURNS,154,32
a_0,t_2,t_2,TURNS,149,32
a_0,t_3,t_3,TURNS,151,32
a_0,t_4,t_4,TURNS,149,32
a_0,t_5,a_0,AREA,1001,32
a_0,t_6,t_6,TURNS,144,32
a_0,t_7,t_7,TURNS,142,32
a_0,t_8,t_8,TURNS,155,32
a_0,t_9,t_9,TURNS,148,32
a_0,t_10,t_10,TURNS,249,32
a_0,t_11,t_11,TURNS,149,32
a_0,t_12,t_12,TURNS,142,32
a_0,t_13,t_13,TURNS,181,32
a_0,t_14,t_14,TURNS,149,32
a_0,t_15,t_15,TURNS,149,32
a_0,t_16,t_16,TURNS,150,32
a_0,t_17,t_17,TURNS,105,32
a_0,t_18,t_18,TURNS,149,32
a_0,t_19,a_0,AREA,1001,32
a_0,t_20,t_20,TURNS,145,32
a_0,t_0,a_0,AREA,46,64
a_0,t_1,a_0,AREA,33,64
a_0,t_2,a_0,AREA,27,64
a_0,t_3,a_0,AREA,26,64
a_0,t_4,a_0,AREA,27,64
a_0,t_5,a_0,AREA,48,64
a_0,t_6,a_0,AREA,44,64
a_0,t_7,a_0,AREA,32,64
a_0,t_8,a_0,AREA,27,64
a_0,t_9,a_0,AREA,27,64
a_0,t_10,a_0,AREA,27,64
a_0,t_11,a_0,AREA,27,64
a_0,t_12,a_0,AREA,27,64
a_0,t_13,a_0,AREA,78,64
a_0,t_14,a_0,AREA,27,64
a_0,t_15,a_0,AREA,27,64
a_0,t_16,a_0,AREA,27,64
a_0,t_17,t_17,TURNS,21,64
a_0,t_18,a_0,AREA,27,64
a_0,t_19,a_0,AREA,51,64
a_0,t_20,a_0,AREA,44,64
a_0,t_0,t_0,TURNS,170,13
a_0,t_1,t_1,TURNS,175,13
a_0,t_2,t_2,TURNS,153,13
a_0,t_3,t_3,TURNS,167,13
a_0,t_4,t_4,TURNS,155,13
a_0,t_5,a_0,AREA,1001,13
a_0,t_6,t_6,TURNS,177,13
a_0,t_7,t_7,TURNS,166,13
a_0,t_8,t_8,TURNS,170,13
a_0,t_9,t_9,TURNS,155,13
a_0,t_10,t_10,TURNS,278,13
a_0,t_11,t_11,TURNS,155,13
a_0,t_12,t_12,TURNS,169,13
a_0,t_13,t_13,TURNS,169,13
a_0,t_14,t_14,TURNS,153,13
a_0,t_15,t_15,TURNS,155,13
a_0,t_16,t_16,TURNS,155,13
a_0,t_17,t_17,TURNS,135,13
a_0,t_18,t_18,TURNS,155,13
a_0,t_19,a_0,AREA,110,13
a_0,t_20,t_20,TURNS,167,13
a_0,t_0,t_0,TURNS,193,87
a_0,t_1,t_1,TURNS,229,87
a_0,t_2,t_2,TURNS,224,87
a_0,t_3,t_3,TURNS,233,87
a_0,t_4,t_4,TURNS,225,87
a_0,t_5,a_0,AREA,1001,87
a_0,t_6,t_6,TURNS,197,87
a_0,t_7,t_7,TURNS,208,87
a_0,t_8,t_8,TURNS,212,87
a_0,t_9,t_9,TURNS,225,87
a_0,t_10,t_10,TURNS,237,87
a_0,t_11,t_11,TURNS,225,87
a_0,t_12,t_12,TURNS,235,87
a_0,t_13,t_13,TURNS,398,87
a_0,t_14,t_14,TURNS,224,87
a_0,t_15,t_15,TURNS,220,87
a_0,t_16,t_16,TURNS,226,87
a_0,t_17,t_17,TURNS,153,87
a_0,t_18,t_18,TURNS,225,87
a_0,t_19,t_19,TURNS,90,87
a_0,t_20,t_20,TURNS,147,87
a_0,a_0,DRAW,_DRAW_,1001,11
a_0,a_1,a_0,AREA,76,11
a_0,a_2,a_2,AREA,1001,11
a_0,a_3,a_3,AREA,50,11
a_0,a_4,a_0,AREA,63,11
a_0,a_5,a_5,AREA,1001,11
a_0,a_6,a_0,AREA,94,11
a_0,a_7,a_7,AREA,93,11
a_0,a_8,a_8,AREA,1001,11
a_0,a_9,a_9,AREA,116,11
a_0,a_10,a_10,AREA,1001,11
a_0,a_11,a_0,AREA,1001,11
a_0,a_12,a_0,AREA,140,11
a_0,a_13,a_13,AREA,214,11
a_0,a_14,a_14,AREA,190,11
a_0,a_15,a_0,AREA,69,11
a_0,a_16,a_16,AREA,1001,11
a_0,a_17,a_17,AREA,93,11
a_0,a_18,a_18,AREA,1001,11
a_0,a_19,a_19,AREA,503,11
a_0,a_20,a_20,AREA,1001,11
a_0,a_0,DRAW,_DRAW_,1001,76
a_0,a_1,a_1,AREA,158,76
a_0,a_2,a_0,AREA,1001,76
a_0,a_3,a_3,AREA,113,76
a_0,a_4,a_4,AREA,229,76
a_0,a_5,a_5,AREA,1001,76
a_0,a_6,a_0,AREA,83,76
a_0,a_7,a_7,AREA,126,76
a_0,a_8,a_0,AREA,1001,76
a_0,a_9,a_9,AREA,204,76
a_0,a_10,a_10,AREA,1001,76
a_0,a_11,a_11,AREA,464,76
a_0,a_12,a_0,AREA,173,76
a_0,a_13,a_13,AREA,303,76
a_0,a_14,a_14,AREA,1001,76
a_0,a_15,a_0,AREA,110,76
a_0,a_16,a_0,AREA,1001,76
a_0,a_17,a_17,AREA,121,76
a_0,a_18,a_0,AREA,1001,76
a_0,a_19,a_19,AREA,596,76
a_0,a_20,a_0,AREA,1001,76
a_0,a_0,DRAW,_DRAW_,1001,69
a_0,a_1,a_1,AREA,187,69
a_0,a_2,a_0,AREA,1001,69
a_0,a_3,a_3,AREA,270,69
a_0,a_4,a_0,AREA,147,69
a_0,a_5,a_5,AREA,1001,69
a_0,a_6,a_0,AREA,95,69
a_0,a_7,a_7,AREA,79,69
a_0,a_8,a_8,AREA,1001,69
a_0,a_9,a_0,AREA,1001,69
a_0,a_10,a_10,AREA,1001,69
a_0,a_11,a_11,AREA,525,69
a_0,a_12,a_0,AREA,719,69
a_0,a_13,a_13,AREA,193,69
a_0,a_14,a_14,AREA,132,69
a_0,a_15,a_15,AREA,1001,69
a_0,a_16,a_0,AREA,83,69
a_0,a_17,a_17,AREA,178,69
a_0,a_18,a_18,AREA,1001,69
a_0,a_19,a_0,AREA,1001,69
a_0,a_20,a_20,AREA,1001,69
a_0,a_0,DRAW,_DRAW_,1001,7
a_0,a_1,a_0,AREA,91,7
a_0,a_2,a_2,AREA,1001,7
a_0,a_3,a_3,AREA,241,7
a_0,a_4,a_4,AREA,139,7
a_0,a_5,a_5,AREA,1001,7
a_0,a_6,a_6,AREA,209,7
a_0,a_7,a_7,AREA,60,7
a_0,a_8,a_8,AREA,164,7
a_0,a_9,a_9,AREA,77,7
a_0,a_10,a_10,AREA,1001,7
a_0,a_11,a_11,AREA,383,7
a_0,a_12,a_0,AREA,134,7
a_0,a_13,a_13,AREA,168,7
a_0,a_14,a_14,AREA,1001,7
a_0,a_15,a_15,AREA,172,7
a_0,a_16,a_0,AREA,1001,7
a_0,a_17,a_17,AREA,92,7
a_0,a_18,a_18,AREA,1001,7
a_0,a_19,a_19,AREA,349,7
a_0,a_20,a_20,AREA,242,7
a_0,a_0,DRAW,_DRAW_,1001,26
a_0,a_1,a_1,AREA,52,26
a_0,a_2,a_2,AREA,1001,26
a_0,a_3,a_3,AREA,35,26
a_0,a_4,a_4,AREA,45,26
a_0,a_5,a_5,AREA,1001,26
a_0,a_6,a_0,AREA,1001,26
a_0,a_7,DRAW,_DRAW_,1001,26
a_0,a_8,a_8,AREA,49,26
a_0,a_9,a_0,AREA,44,26
a_0,a_10,a_10,AREA,1001,26
a_0,a_11,a_0,AREA,63,26
a_0,a_12,DRAW,_DRAW_,1001,26
a_0,a_13,a_13,AREA,74,26
a_0,a_14,a_14,AREA,54,26
a_0,a_15,a_0,AREA,69,26
a_0,a_16,a_16,AREA,1001,26
a_0,a_17,a_17,AREA,73,26
a_0,a_18,a_18,AREA,1001,26
a_0,a_19,DRAW,_DRAW_,1001,26
a_0,a_20,a_20,AREA,42,26
a_0,a_0,DRAW,_DRAW_,1001,32
a_0,a_1,a_0,AREA,97,32
a_0,a_2,a_2,AREA,1001,32
a_0,a_3,a_3,AREA,239,32
a_0,a_4,a_0,AREA,1001,32
a_0,a_5,a_5,AREA,1001,32
a_0,a_6,a_0,AREA,1001,32
a_0,a_7,a_7,AREA,66,32
a_0,a_8,a_8,AREA,1001,32
a_0,a_9,a_9,AREA,113,32
a_0,a_10,a_10,AREA,1001,32
a_0,a_11,a_11,AREA,376,32
a_0,a_12,a_0,AREA,139,32
a_0,a_13,a_13,AREA,127,32
a_0,a_14,a_14,AREA,214,32
a_0,a_15,a_15,AREA,1001,32
a_0,a_16,a_0,AREA,1001,32
a_0,a_17,a_17,AREA,80,32
a_0,a_18,a_18,AREA,1001,32
a_0,a_19,a_0,AREA,1001,32
a_0,a_20,a_20,AREA,1001,32
a_0,a_0,DRAW,_DRAW_,1001,64
a_0,a_1,a_1,AREA,82,64
a_0,a_2,a_0,AREA,29,64
a_0,a_3,a_3,AREA,52,64
a_0,a_4,a_0,AREA,39,64
a_0,a_5,a_0,AREA,74,64
a_0,a_6,a_0,AREA,44,64
a_0,a_7,DRAW,_DRAW_,1001,64
a_0,a_8,a_0,AREA,27,64
a_0,a_9,a_0,AREA,34,64
a_0,a_10,a_10,AREA,1001,64
a_0,a_11,a_11,AREA,412,64
a_0,a_12,DRAW,_DRAW_,1001,64
a_0,a_13,a_0,AREA,27,64
a_0,a_14,a_0,AREA,27,64
a_0,a_15,a_0,AREA,74,64
a_0,a_16,a_0,AREA,38,64
a_0,a_17,a_17,AREA,116,64
a_0,a_18,a_0,AREA,27,64
a_0,a_19,DRAW,_DRAW_,1001,64
a_0,a_20,a_0,AREA,74,64
a_0,a_0,DRAW,_DRAW_,1001,13
a_0,a_1,a_1,AREA,123,13
a_0,a_2,a_2,AREA,1001,13
a_0,a_3,a_3,AREA,245,13
a_0,a_4,a_0,AREA,76,13
a_0,a_5,a_0,AREA,52,13
a_0,a_6,a_0,AREA,44,13
a_0,a_7,a_7,AREA,75,13
a_0,a_8,a_8,AREA,1001,13
a_0,a_9,a_0,AREA,142,13
a_0,a_10,a_10,AREA,1001,13
a_0,a_11,a_0,AREA,50,13
a_0,a_12,a_0,AREA,1001,13
a_0,a_13,a_13,AREA,159,13
a_0,a_14,a_14,AREA,310,13
a_0,a_15,a_0,AREA,42,13
a_0,a_16,a_16,AREA,1001,13
a_0,a_17,a_17,AREA,139,13
a_0,a_18,a_18,AREA,1001,13
a_0,a_19,DRAW,_DRAW_,1001,13
a_0,a_20,a_20,AREA,1001,13
a_0,a_0,DRAW,_DRAW_,1001,87
a_0,a_1,a_1,AREA,166,87
a_0,a_2,a_2,AREA,1001,87
a_0,a_3,a_3,AREA,71,87
a_0,a_4,a_0,AREA,1001,87
a_0,a_5,a_5,AREA,1001,87
a_0,a_6,a_0,AREA,1001,87
a_0,a_7,a_7,AREA,108,87
a_0,a_8,a_8,AREA,1001,87
a_0,a_9,a_0,AREA,125,87
a_0,a_10,a_10,AREA,1001,87
a_0,a_11,a_0,AREA,1001,87
a_0,a_12,a_0,AREA,334,87
a_0,a_13,a_0,AREA,1001,87
a_0,a_14,a_14,AREA,1001,87
a_0,a_15,a_15,AREA,1001,87
a_0,a_16,a_16,AREA,1001,87
a_0,a_17,a_17,AREA,176,87
a_0,a_18,a_18,AREA,1001,87
a_0,a_19,a_0,AREA,428,87
a_0,a_20,a_20,AREA,1001,87
a_1,s_0,s_0,SLOPE,1001,11
a_1,s_1,a_1,AREA,163,11
a_1,s_2,DRAW,_DRAW_,1001,11
a_1,s_3,a_1,AREA,121,11
a_1,s_4,a_1,AREA,133,11
a_1,s_5,DRAW,_DRAW_,1001,11
a_1,s_6,a_1,AREA,220,11
a_1,s_7,DRAW,_DRAW_,1001,11
a_1,s_8,a_1,AREA,182,11
a_1,s_9,a_1,AREA,160,11
a_1,s_10,s_10,SLOPE,1001,11
a_1,s_11,s_11,SLOPE,1001,11
a_1,s_12,a_1,AREA,161,11
a_1,s_13,s_13,SLOPE,1001,11
a_1,s_14,DRAW,_DRAW_,1001,11
a_1,s_15,s_15,SLOPE,1001,11
a_1,s_16,DRAW,_DRAW_,1001,11
a_1,s_17,s_17,SLOPE,552,11
a_1,s_18,s_18,SLOPE,1001,11
a_1,s_19,s_19,SLOPE,1001,11
a_1,s_20,s_20,SLOPE,1001,11
a_1,s_0,s_0,SLOPE,1001,76
a_1,s_1,a_1,AREA,350,76
a_1,s_2,DRAW,_DRAW_,1001,76
a_1,s_3,s_3,SLOPE,1001,76
a_1,s_4,s_4,SLOPE,1001,76
a_1,s_5,DRAW,_DRAW_,1001,76
a_1,s_6,a_1,AREA,95,76
a_1,s_7,DRAW,_DRAW_,1001,76
a_1,s_8,a_1,AREA,160,76
a_1,s_9,s_9,SLOPE,1001,76
a_1,s_10,s_10,SLOPE,184,76
a_1,s_11,s_11,SLOPE,1001,76
a_1,s_12,a_1,AREA,176,76
a_1,s_13,s_13,SLOPE,1001,76
a_1,s_14,DRAW,_DRAW_,1001,76
a_1,s_15,a_1,AREA,75,76
a_1,s_16,DRAW,_DRAW_,1001,76
a_1,s_17,s_17,SLOPE,396,76
a_1,s_18,s_18,SLOPE,1001,76
a_1,s_19,s_19,SLOPE,1001,76
a_1,s_20,s_20,SLOPE,1001,76
a_1,s_0,s_0,SLOPE,1001,69
a_1,s_1,s_1,SLOPE,1001,69
a_1,s_2,DRAW,_DRAW_,1001,69
a_1,s_3,a_1,AREA,198,69
a_1,s_4,a_1,AREA,209,69
a_1,s_5,DRAW,_DRAW_,1001,69
a_1,s_6,a_1,AREA,176,69
a_1,s_7,DRAW,_DRAW_,1001,69
a_1,s_8,a_1,AREA,304,69
a_1,s_9,s_9,SLOPE,1001,69
a_1,s_10,s_10,SLOPE,100,69
a_1,s_11,s_11,SLOPE,1001,69
a_1,s_12,a_1,AREA,219,69
a_1,s_13,s_13,SLOPE,1001,69
a_1,s_14,DRAW,_DRAW_,1001,69
a_1,s_15,s_15,SLOPE,1001,69
a_1,s_16,DRAW,_DRAW_,1001,69
a_1,s_17,a_1,AREA,1001,69
a_1,s_18,s_18,SLOPE,1001,69
a_1,s_19,s_19,SLOPE,1001,69
a_1,s_20,s_20,SLOPE,1001,69
a_1,s_0,a_1,AREA,347,7
a_1,s_1,s_1,SLOPE,117,7
a_1,s_2,DRAW,_DRAW_,1001,7
a_1,s_3,s_3,SLOPE,1001,7
a_1,s_4,a_1,AREA,265,7
a_1,s_5,DRAW,_DRAW_,1001,7
a_1,s_6,a_1,AREA,80,7
a_1,s_7,DRAW,_DRAW_,1001,7
a_1,s_8,a_1,AREA,216,7
a_1,s_9,s_9,SLOPE,1001,7
a_1,s_10,s_10,SLOPE,1001,7
a_1,s_11,a_1,AREA,123,7
a_1,s_12,a_1,AREA,111,7
a_1,s_13,s_13,SLOPE,1001,7
a_1,s_14,DRAW,_DRAW_,1001,7
a_1,s_15,a_1,AREA,144,7
a_1,s_16,DRAW,_DRAW_,1001,7
a_1,s_17,s_17,SLOPE,982,7
a_1,s_18,s_18,SLOPE,157,7
a_1,s_19,s_19,SLOPE,1001,7
a_1,s_20,s_20,SLOPE,1001,7
a_1,s_0,s_0,SLOPE,1001,26
a_1,s_1,a_1,AREA,34,26
a_1,s_2,DRAW,_DRAW_,1001,26
