Current parameters
 - debug = true
 - runAutotest = false
 - runChromosome = false
 - runExperiment = true
 - chromosome = null
 - showSheets = false
 - saveRatMap = .
 - numberOfGenerations = 50
 - population = 15
 - numberOfProfiles = 4
 - numberOfInitialAgents = 15
 - numberOfCells = 10
 - numberOfFoodPieces = 10
 - numberOfDays = 1000
 - numberOfExecutions = 5
 - patterns = E:\2_trabajo\doctorado\made\2014\pattern_revenge.txt
 - baseDays = 500
 - baseEnergy = 5
 - baseSmell = 3
 - baseNutrition = 4
 - baseByte = 5
 - baseFur = 5
 - baseAgeToBeAdultFemale = 42
 - baseToBeAdultMale = 49
 - basePregnancyTime = 30
 - help = false
 - seed = 1384127155166

gen = 0021,avg = 435,267,best = 446,200,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,894;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,098;0,771;0,567;0,007;0,073;0,355;0,821;0,306;0,899;0,194;0,362;0,862;0,043;0,948;0,045;0,512;0,915;0,667;0,607;0,912;0,187;0,730;0,020}
gen = 0022,avg = 438,373,best = 446,200,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,894;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,098;0,771;0,567;0,007;0,073;0,355;0,821;0,306;0,899;0,194;0,362;0,862;0,043;0,948;0,045;0,512;0,915;0,667;0,607;0,912;0,187;0,730;0,020}
gen = 0023,avg = 443,093,best = 450,600,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,894;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,098;0,771;0,567;0,007;0,073;0,355;0,821;0,306;0,899;0,194;0,362;0,862;0,043;0,948;0,045;0,512;0,915;0,667;0,607;0,912;0,251;0,553;0,020}
gen = 0024,avg = 444,587,best = 450,600,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,894;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,098;0,771;0,567;0,007;0,073;0,355;0,821;0,306;0,899;0,194;0,362;0,862;0,043;0,948;0,045;0,512;0,915;0,667;0,607;0,912;0,251;0,553;0,020}
gen = 0025,avg = 445,307,best = 450,600,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,894;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,098;0,771;0,567;0,007;0,073;0,355;0,821;0,306;0,899;0,194;0,362;0,862;0,043;0,948;0,045;0,512;0,915;0,667;0,607;0,912;0,251;0,553;0,020}
gen = 0026,avg = 446,253,best = 450,600,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,894;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,098;0,771;0,567;0,007;0,073;0,355;0,821;0,306;0,899;0,194;0,362;0,862;0,043;0,948;0,045;0,512;0,915;0,667;0,607;0,912;0,251;0,553;0,020}
gen = 0027,avg = 447,200,best = 450,600,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,894;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,098;0,771;0,567;0,007;0,073;0,355;0,821;0,306;0,899;0,194;0,362;0,862;0,043;0,948;0,045;0,512;0,915;0,667;0,607;0,912;0,251;0,553;0,020}
gen = 0028,avg = 447,800,best = 450,600,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,894;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,098;0,771;0,567;0,007;0,073;0,355;0,821;0,306;0,899;0,194;0,362;0,862;0,043;0,948;0,045;0,512;0,915;0,667;0,607;0,912;0,251;0,553;0,020}
gen = 0029,avg = 448,267,best = 450,600,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,894;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,098;0,771;0,567;0,007;0,073;0,355;0,821;0,306;0,899;0,194;0,362;0,862;0,043;0,948;0,045;0,512;0,915;0,667;0,607;0,912;0,251;0,553;0,020}
gen = 0030,avg = 449,773,best = 454,800,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,894;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,098;0,771;0,567;0,007;0,073;0,355;0,821;0,306;0,899;0,194;0,362;0,862;0,043;0,948;0,045;0,512;0,915;0,667;0,607;0,539;0,251;0,553;0,020}
gen = 0031,avg = 450,373,best = 454,800,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,894;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,098;0,771;0,567;0,007;0,073;0,355;0,821;0,306;0,899;0,194;0,362;0,862;0,043;0,948;0,045;0,512;0,915;0,667;0,607;0,539;0,251;0,553;0,020}
gen = 0032,avg = 451,333,best = 454,800,chrom = {0,349;0,235;0,699;0,688;0,510;0,186;0,723;0,205;0,231;0,723;0,586;0,181;0,707;0,040;0,913;0,542;0,762;0,894;0,527;0,316;0,335;0,075;0,114;0,028;0,738;0,098;0,771;0,567;0,007;0,073;0,355;0,821;0,306;0,899;0,194;0,362;0,862;0,043;0,948;0,045;0,512;0,915;0,667;0,607;0,539;0,251;0,553;0,020}
