standardDeviation,noOfPeaks,EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
333.1795452530062,2,6793.125,5036.0,146.5,18.0,9.0,2.0,396.75
351.81764356124563,1,7515.111111111111,5035.888888888889,148.77777777777777,19.0,10.0,2.0,396.22222222222223
108.67055719006873,0,3084.1,5038.0,14.8,19.0,1.0,2.0,394.7
176.4878200253036,1,3668.222222222222,5038.0,28.666666666666668,19.0,2.0,2.0,396.0
167.39605730123992,0,3892.4,5038.0,39.7,19.0,3.0,2.0,396.8
203.75735993675187,1,4468.777777777777,5038.0,62.666666666666664,19.0,4.0,2.0,395.6666666666667
221.91574977905466,0,4900.0,5037.9,77.1,19.0,5.0,2.0,395.9
204.2229419041847,0,5371.7,5038.0,85.5,19.0,6.0,2.0,395.2
266.32177905683943,0,6135.1,5038.0,119.0,19.0,7.0,2.0,395.8
279.3317422389053,1,6691.0,5038.0,139.11111111111111,19.0,8.0,2.0,395.6666666666667
291.5258707787927,4,6961.0,5037.666666666667,141.33333333333334,19.0,9.0,2.0,393.0
53.52606841530583,0,4466.6,5000.0,81.8,1.0,1.0,2.0,396.7
346.77240668890647,3,7919.428571428572,5000.142857142857,206.57142857142858,1.0,2.0,2.0,394.85714285714283
506.71388376479285,5,12340.8,5000.0,320.6,1.0,3.0,2.0,392.2
808.3097759383782,3,22134.14285714286,5000.0,554.4285714285714,1.0,4.0,2.0,394.85714285714283
1369.6618398552087,4,30307.333333333332,5000.0,805.1666666666666,1.0,5.0,2.0,396.1666666666667
1475.5077562957401,4,38255.166666666664,5000.166666666667,981.1666666666666,1.0,6.0,2.0,397.3333333333333
2063.1078834828027,4,47453.166666666664,5000.166666666667,1266.5,1.0,7.0,2.0,394.0
2100.4488468002955,1,59652.555555555555,5000.0,1562.2222222222222,1.0,8.0,2.0,393.77777777777777
1530.7075773968063,6,63187.75,5000.0,1573.0,1.0,9.0,2.0,393.0
242.15107444969732,3,7221.0,5040.0,142.85714285714286,20.0,10.0,2.0,396.14285714285717
83.76421935674232,1,3133.6666666666665,5037.888888888889,14.444444444444445,20.0,1.0,2.0,396.3333333333333
109.6405034647324,0,3589.4,5040.0,24.8,20.0,2.0,2.0,395.4
170.4957770738032,0,3979.3,5038.0,39.0,20.0,3.0,2.0,395.3
215.72398917638446,1,4489.222222222223,5040.0,55.333333333333336,20.0,4.0,2.0,395.3333333333333
230.79193371230863,4,4916.5,5040.0,72.0,20.0,5.0,2.0,396.0
260.8867378768035,0,5578.1,5040.0,90.5,20.0,6.0,2.0,395.6
282.0835148940824,2,6038.875,5040.0,105.5,20.0,7.0,2.0,395.875
289.3195507896689,1,6050.555555555556,5040.0,111.0,20.0,8.0,2.0,395.6666666666667
351.68449549987275,2,7540.375,5040.0,145.125,20.0,9.0,2.0,394.625
320.79638555889983,1,7418.111111111111,5042.0,144.44444444444446,21.0,10.0,2.0,395.77777777777777
106.53492385128925,0,3232.9,5039.9,14.4,21.0,1.0,2.0,395.2
156.4024564866605,1,3739.222222222222,5042.0,27.77777777777778,21.0,2.0,2.0,395.1111111111111
188.04789283584114,0,3976.3,5042.0,40.0,21.0,3.0,2.0,396.2
205.6193894877945,1,4557.0,5039.666666666667,51.0,21.0,4.0,2.0,395.22222222222223
259.114356993201,2,5291.0,5042.0,70.5,21.0,5.0,2.0,393.625
224.64677349008636,1,5483.777777777777,5042.0,76.77777777777777,21.0,6.0,2.0,395.22222222222223
229.86455639292083,3,5705.0,5042.0,88.85714285714286,21.0,7.0,2.0,395.7142857142857
277.40437541610623,2,6034.25,5042.0,97.0,21.0,8.0,2.0,395.625
365.2101449850483,0,7325.5,5038.0,141.4,21.0,9.0,2.0,394.7
339.84342132871745,3,7597.857142857143,5044.0,150.71428571428572,22.0,10.0,2.0,394.2857142857143
130.54964525629018,1,3177.1111111111113,5041.555555555556,14.555555555555555,22.0,1.0,2.0,396.0
154.87766139763346,0,3580.9,5044.0,22.2,22.0,2.0,2.0,394.4
187.98829750811618,0,4097.0,5044.0,37.9,22.0,3.0,2.0,395.5
201.0194269218774,0,4451.7,5043.9,51.9,22.0,4.0,2.0,396.3
256.6588397074997,0,5271.8,5041.8,72.7,22.0,5.0,2.0,394.5
258.9659425001674,2,5715.875,5041.25,82.875,22.0,6.0,2.0,395.5
275.5661263653427,0,5942.1,5044.0,96.3,22.0,7.0,2.0,394.8
299.72933368188666,3,6870.571428571428,5044.0,123.57142857142857,22.0,8.0,2.0,394.57142857142856
310.983386480157,1,6724.0,5043.333333333333,128.77777777777777,22.0,9.0,2.0,397.0
