standardDeviation,noOfPeaks,EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
17.1579445659553,1,618.2222222222222,5000.0,1.2222222222222223,19.0,1.0,2.0,397.22222222222223
35.61245447284204,1,775.5555555555555,5000.0,3.7777777777777777,19.0,2.0,2.0,396.77777777777777
25.77155097207331,1,681.2222222222222,5000.0,5.0,19.0,3.0,2.0,396.77777777777777
26.20008481750478,1,685.0,5000.0,5.111111111111111,19.0,4.0,2.0,396.55555555555554
35.22870602782711,1,719.2222222222222,5000.0,7.0,19.0,5.0,2.0,397.6666666666667
34.978564864785405,2,742.0,5000.0,9.5,19.0,6.0,2.0,396.625
27.054343459045537,2,748.25,5000.0,10.0,19.0,7.0,2.0,396.75
40.01074074545484,2,816.875,5000.0,12.625,19.0,8.0,2.0,397.25
21.328775554791388,4,765.5,5000.0,13.0,19.0,9.0,2.0,395.8333333333333
242.99070841289384,2,4892.625,5000.0,442.125,1.0,10.0,2.0,401.75
38.25354014118606,1,876.6666666666666,5000.0,40.77777777777778,1.0,1.0,2.0,401.0
58.78326481424983,4,1406.8333333333333,5000.0,91.66666666666667,1.0,2.0,2.0,399.0
66.56223112430125,3,1675.5714285714287,5000.0,125.57142857142857,1.0,3.0,2.0,399.42857142857144
72.23957056596859,4,1999.6666666666667,5000.0,168.16666666666666,1.0,4.0,2.0,396.8333333333333
103.08963198218443,4,2540.1666666666665,5000.0,229.5,1.0,5.0,2.0,396.8333333333333
105.90070821292935,5,2812.8,5000.0,251.0,1.0,6.0,2.0,403.2
146.1213109029617,2,3239.25,5000.0,288.625,1.0,7.0,2.0,402.375
221.95954586365505,0,4594.6,5000.0,279.1,1.0,8.0,2.0,402.5
195.96476086276328,2,4020.25,5000.0,383.625,1.0,9.0,2.0,402.375
38.085065606116814,4,764.8333333333334,5000.0,11.833333333333334,20.0,10.0,2.0,397.8333333333333
23.11217946248629,1,616.7777777777778,5000.0,1.3333333333333333,20.0,1.0,2.0,397.22222222222223
30.914953905836573,2,630.625,5000.0,2.625,20.0,2.0,2.0,396.0
28.919214851968597,1,657.1111111111111,5000.0,3.111111111111111,20.0,3.0,2.0,395.0
32.608792270388264,1,688.0,5000.0,6.555555555555555,20.0,4.0,2.0,395.44444444444446
25.02936546943348,1,878.5555555555555,5000.0,6.888888888888889,20.0,5.0,2.0,396.0
36.2609897134648,2,726.875,5000.0,8.5,20.0,6.0,2.0,397.125
28.99931033662697,5,725.8,5000.0,8.4,20.0,7.0,2.0,397.2
27.861171869811646,3,952.4285714285714,5000.0,8.857142857142858,20.0,8.0,2.0,396.85714285714283
32.98422628580924,3,804.4285714285714,5000.0,12.428571428571429,20.0,9.0,2.0,395.14285714285717
38.237709776862836,3,805.8571428571429,5000.0,10.428571428571429,21.0,10.0,2.0,397.14285714285717
23.265509893773746,1,625.2222222222222,5000.0,1.7777777777777777,21.0,1.0,2.0,397.1111111111111
21.72044607685988,1,656.6666666666666,5000.0,2.2222222222222223,21.0,2.0,2.0,397.3333333333333
30.40467800264368,1,686.3333333333334,5000.0,5.111111111111111,21.0,3.0,2.0,394.77777777777777
29.352687217929134,1,685.4444444444445,5000.0,4.777777777777778,21.0,4.0,2.0,395.55555555555554
18.663359495394207,1,716.1111111111111,5000.0,5.333333333333333,21.0,5.0,2.0,397.0
31.68373991497847,2,709.125,5000.0,3.875,21.0,6.0,2.0,397.5
21.653109311531747,3,735.0,5000.0,5.714285714285714,21.0,7.0,2.0,396.42857142857144
14.961283367412035,5,765.4,5000.0,9.0,21.0,8.0,2.0,395.2
39.168917289512265,3,785.7142857142857,5000.0,11.714285714285714,21.0,9.0,2.0,396.42857142857144
